No,Title,Author,Link,Publisher,Year,Pages,Format,Literary Form,Library,Items Available,Call Number,Edition,Material Type,Image URL
1,"International Migration In And From Africa :  		Dimensions, Challenges And Prospectsaderanti Adepoju And Tomas Hammar198P.; 	Ill.","Edited By Adepoju, Aderanti  Hammar, Tomas",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=340,"Population, Human Resources and  Development in Africa (PHRDA)",1996,198,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,JV8790 .In8.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
2,"Autering Nollywood :Critical Perspective On The Figurine/Edited By Adeshina Afolayanxxi, 457P.",Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=2819,University Press,2014,457,; print,; Not fiction,Arts Library(5),5,"PN1998. Au8, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
3,"In Person--Achebe, Awoonor, And Soyinka At The University Of Washington /Edited By Karen L. Morell ; [Ill. By Robin A. Morell].","Achebe, Chinuaawoonor, Kofi, 1935-2013Soyinka, Wolemorell, Karen Lwashington (State). University. African Studies Program",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=2,"African Studies Program, Institute for Comparative and Foreign Area Studies, University of Washington ; initial distribution by African and Afro American Studies and Research Center, University of Texas,",1975,0,; print,; Not fiction,Unknown,0,Unknown,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
4,"Linguistics: An Introduction To Language And Communicationadrian Akmajianxiv, 630P. ; Ill.","Akmajian, Adrian",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=73,"PHI Learning,",2010,630,; print,; Not fiction,Hezekiah Oluwasanmi Library(3),3,"P121 .Ak5, ...",6th ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
5,"Africa’S Future, Africa’S Challenge :Early Childhood Care And Development In Sub-Saharan Africa(Edited By) Marito Garcia, Alan Pence And Judith L. Evansxxvi, 525P.; Ill.",(Edited By) Garcia   Marito (Edited By) Pence  Alan (Edited By)  Evans Judith L,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=87,The World Bank,2008,525,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,HQ778.7 .Af8.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
6,"Shakespeare In & Out Of Africavol. Editor, Jane Plastow ; Reviews Editor Martin Banham12 Xiv,194P.Ill.","Plastow, Jane Banham, Martin",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=241,James Curry,2013,194,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"PR3109.A35Sh53, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
7,The Encylopedia Americana:  Complete In Thirty  Volumesamericana Corporation806P.; Ill.,Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=489,Americana Corporation,1952,806,; print,; Not fiction,Hezekiah Oluwasanmi Library(45),45,"AE5 .En1, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
8,"Settled Strangers Asian Business Elites In East Africa  (1800-2000)Gijsbert  Oonkxix, 270P.: Ill","Oonk, Gijsbert",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=646,SAGE,2013,270,; print,; Not fiction,Education Library(1),1,DT16 .E17On4.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
9,"New Architecture On Indigenous Landsjoy Monice Malnar And Frank Vodvarka.Xi, 259P; Ill.","Malnar, Joy Monice",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=884,University of Minnesota Press,2013,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"NA 2543 .A58M31, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
10,Achieving Your Assessor And Quality Assurance Units (Taqa)Ann Gravellsxiii: 274P.,"Gravells, Ann",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1068,"Sage Publications,",2014,274,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"LC5225.A75G78, ...",2nd ed.,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
11,"Contemporary  Womenedited By Jane Plastow & Yvette Hutchison.Xii, 144P; Ill.","Edited By Plastow, Jane And Hutchison Yvette",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1089,James Currey,2015,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"PN2969 .C74, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
12,"Narrative Network:  Stories Approach In A Digital Agebrian Alleynexi, 207P.","Alleyne, Brian",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1112,"Sage Publications,",2015,207,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"H61.295 .Al5, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
13,"Qur’An And Astronomy [A Comparative Analysis]Muhammad Lawal Nayayixiii, 84P","Nayayi, Muhammad Lawal",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1238,Ahmadu Bello University Press,2015,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"BP134 .A8N23, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
14,"African Theatre Shakespeare In And Out Of Africa . Xiv, 194P.; Ill.",Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1267,: James Currey,", 2013",194,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"PR3109 .Af8, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
15,"Mathematics Education With Digital Technologyadeniran  Oldknow And Carol Knightsxxiv,272Pp.C.M",Aairan Oldknow And Carol Knights,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1362,P.C.M Education and digital Technology,2013,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"QA 11.2.Ad8, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
16,The History Of Africa: The Quest For Eternal Harmonymolefi Kete Asante,"Asante,Molefi Kete",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1380,Routledge,2019,0,; print,; Not fiction,Hezekiah Oluwasanmi Library(3),3,"DT20.A2, ...",3rd Edition,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
17,"Shakespeare In & Out Of Africa / 12) . Xiv,194P.: Ill.",Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1495,Unknown,2013,194,; print,; Not fiction,Arts Library(1),1,PR3109S .A35Sh53.,"volume editor, Jane Plastow: reviews editor, Martin Banham.- Woodridge, Suffolk: James Currey",Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
18,"Understanding Research With Children And Young People.Edited By Clark,  Alison....[Et Al].Xii, 309P.; Ill.","Clark,  Alison....[Et Al]",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1580,SAGE,2014,309,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"HQ767.85 .Un2, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
19,"Archtectural Atmosphere On The Experience And Politics Of Architecturechristian Barch ,Bohme{Et Al...}111P.Ill.","Barch , Christian",https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1653,German National library,2014,111,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"NA 203.B23, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
20,"Advocacy In English Language Teaching And Learningedited By Heather A. Limville And James Whitingxviii,212P;Ill",Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1749,Routledge,2019,0,; print,; Not fiction,Arts Library(1),1,PE1128.A2Ad9.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
21,"Voices From Africa On Literacy For The Attainment Of Sustainable Developmentedited  By Nkechi M. Christopherxxx,429P.:Ill.",Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1909,International Development in Africa Committee (IDAC) International Reading Association,2009,429,; print,; Not fiction,Hezekiah Oluwasanmi Library(2),2,"LC158.A2V87, ...",Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
22,"An Introduction To The Study Of Adult Education :A Multi-Disciplinary And Cross-Cultural Approach For Developing Countriesedited By Lalage Bown And J.T. Okedaraix,323P.:Ill.",Unknown,https://opac.oauife.edu.ng/cgi-bin/koha/opac-detail.pl?biblionumber=1928,University Press,1981,323,; print,; Not fiction,Hezekiah Oluwasanmi Library(1),1,LC5215.A2In8.,Unknown,Text,https://opac.oauife.edu.ng/opac-tmpl/lib/famfamfam/BK.png
